NAME;GROUP_COMMON_NAME;GROUP_SCIENTIFIC_NAME
Lauraceae;Flowering plants ;Angiosperms
Lecythidaceae;Flowering plants ;Angiosperms
Leguminosae;Flowering plants ;Angiosperms
Lentibulariaceae;Flowering plants ;Angiosperms
Lepidobotryaceae;Flowering plants ;Angiosperms
Liliaceae;Flowering plants ;Angiosperms
Limeaceae;Flowering plants ;Angiosperms
Limnanthaceae;Flowering plants ;Angiosperms
Linaceae;Flowering plants ;Angiosperms
Linderniaceae;Flowering plants ;Angiosperms
Loasaceae;Flowering plants ;Angiosperms
Loganiaceae;Flowering plants ;Angiosperms
Lophiocarpaceae;Flowering plants ;Angiosperms
Lophopyxidaceae;Flowering plants ;Angiosperms
Loranthaceae;Flowering plants ;Angiosperms
Lowiaceae;Flowering plants ;Angiosperms
Lythraceae;Flowering plants ;Angiosperms
Magnoliaceae;Flowering plants ;Angiosperms
Malpighiaceae;Flowering plants ;Angiosperms
Malvaceae;Flowering plants ;Angiosperms
Marantaceae;Flowering plants ;Angiosperms
Marcgraviaceae;Flowering plants ;Angiosperms
Martyniaceae;Flowering plants ;Angiosperms
Mayacaceae;Flowering plants ;Angiosperms
Melanthiaceae;Flowering plants ;Angiosperms
Melastomataceae;Flowering plants ;Angiosperms
Meliaceae;Flowering plants ;Angiosperms
Melianthaceae;Flowering plants ;Angiosperms
Menispermaceae;Flowering plants ;Angiosperms
Menyanthaceae;Flowering plants ;Angiosperms
Metteniusaceae;Flowering plants ;Angiosperms
Misodendraceae;Flowering plants ;Angiosperms
Mitrastemonaceae;Flowering plants ;Angiosperms
Molluginaceae;Flowering plants ;Angiosperms
Monimiaceae;Flowering plants ;Angiosperms
Montiaceae;Flowering plants ;Angiosperms
Montiniaceae;Flowering plants ;Angiosperms
Moraceae;Flowering plants ;Angiosperms
Moringaceae;Flowering plants ;Angiosperms
Muntingiaceae;Flowering plants ;Angiosperms
Musaceae;Flowering plants ;Angiosperms
Myodocarpaceae;Flowering plants ;Angiosperms
Myricaceae;Flowering plants ;Angiosperms
Myristicaceae;Flowering plants ;Angiosperms
Myrothamnaceae;Flowering plants ;Angiosperms
Myrtaceae;Flowering plants ;Angiosperms
Nartheciaceae;Flowering plants ;Angiosperms
Nelumbonaceae;Flowering plants ;Angiosperms
Nepenthaceae;Flowering plants ;Angiosperms
Neuradaceae;Flowering plants ;Angiosperms
Nitrariaceae;Flowering plants ;Angiosperms
Nothofagaceae;Flowering plants ;Angiosperms
Nyctaginaceae;Flowering plants ;Angiosperms
Nymphaeaceae;Flowering plants ;Angiosperms
Ochnaceae;Flowering plants ;Angiosperms
Olacaceae;Flowering plants ;Angiosperms
Oleaceae;Flowering plants ;Angiosperms
Onagraceae;Flowering plants ;Angiosperms
